GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Heraclito,com.unipampa.edu.constantes,Regras,391,0,20,0,50,0,17,0,7,0
Heraclito,com.unipampa.edu.constantes,Lado,38,0,0,0,2,0,4,0,4,0
Heraclito,com.unipampa.edu.constantes,OperadorLogico,118,0,0,0,12,0,8,0,8,0
Heraclito,com.unipampa.edu.constantes,FuncoesString,182,0,30,0,47,0,22,0,7,0
Heraclito,com.unipampa.edu.helper,Datehelp,3,14,0,0,1,3,1,1,1,1
Heraclito,com.unipampa.edu.DAO,ConnectionFactory,22,32,2,4,7,11,4,5,2,4
Heraclito,com.unipampa.edu.DAO,UserDB,24,118,0,4,11,34,1,5,1,3
Heraclito,com.unipampa.edu.DAO,ExercicioDB,46,278,0,6,22,84,1,10,1,7
Heraclito,com.unipampa.edu.DAO,PassoDB,27,237,0,6,13,72,0,9,0,6
Heraclito,com.unipampa.edu.execption,LogicException,4,0,0,0,2,0,1,0,1,0
Heraclito,com.unipampa.edu.model,Exerciciobanco,0,63,0,0,0,26,0,13,0,13
Heraclito,com.unipampa.edu.model,Passobanco,35,18,0,0,15,7,10,1,10,1
Heraclito,com.unipampa.edu.model,User,37,85,8,8,14,26,13,8,6,7
Heraclito,com.unipampa.edu.chart,ChartView.new ArrayList() {...},26,0,0,0,6,0,1,0,1,0
Heraclito,com.unipampa.edu.chart,Dado,23,0,0,0,10,0,5,0,5,0
Heraclito,com.unipampa.edu.chart,ChartView,1945,0,8,0,449,0,57,0,53,0
Heraclito,com.unipampa.edu.chart,GraficoBean,783,0,30,0,213,0,37,0,22,0
Heraclito,com.unipampa.edu.regra,CriarHipotese,93,0,4,0,17,0,4,0,2,0
Heraclito,com.unipampa.edu.regra,Incosistencia,216,0,14,0,32,0,9,0,2,0
Heraclito,com.unipampa.edu.regra,HipotesePC,53,0,2,0,11,0,3,0,2,0
Heraclito,com.unipampa.edu.regra,Conjuncao,81,0,2,0,15,0,3,0,2,0
Heraclito,com.unipampa.edu.regra,Adicao,113,0,6,0,19,0,5,0,2,0
Heraclito,com.unipampa.edu.regra,EliminacaoEquivalencia,140,0,6,0,25,0,5,0,2,0
Heraclito,com.unipampa.edu.regra,Simplificacao,113,0,6,0,22,0,5,0,2,0
Heraclito,com.unipampa.edu.regra,ModusTollens,188,0,12,0,38,0,8,0,2,0
Heraclito,com.unipampa.edu.regra,EliminacaoDisjuncao,336,0,30,0,62,0,17,0,2,0
Heraclito,com.unipampa.edu.regra,CopiarLinha,27,0,2,0,6,0,3,0,2,0
Heraclito,com.unipampa.edu.regra,SilogismoDisjuntivo,302,0,28,0,71,0,16,0,2,0
Heraclito,com.unipampa.edu.regra,IntroducaoEquivalencia,185,0,10,0,34,0,7,0,2,0
Heraclito,com.unipampa.edu.regra,HipoteseRAA,61,0,2,0,12,0,3,0,2,0
Heraclito,com.unipampa.edu.regra,ReducaoAoAbsurdo,337,0,18,0,60,0,11,0,2,0
Heraclito,com.unipampa.edu.regra,DilemaConstrutivo,306,0,28,0,61,0,16,0,2,0
Heraclito,com.unipampa.edu.regra,DuplaNegacao,144,0,6,0,21,0,5,0,2,0
Heraclito,com.unipampa.edu.regra,ProvaCondicional,135,0,6,0,23,0,5,0,2,0
Heraclito,com.unipampa.edu.regra,SilogismoHipotetico,210,0,10,0,43,0,7,0,2,0
Heraclito,com.unipampa.edu.regra,ModusPonens,208,0,10,0,38,0,7,0,2,0
Heraclito,com.unipampa.edu.regra,Exportacao,176,0,6,0,29,0,5,0,2,0
Heraclito,com.unipampa.edu.heraclito,SwacResource,42,0,2,0,14,0,6,0,5,0
Heraclito,com.unipampa.edu.heraclito,LinhaHipotese,7,0,0,0,3,0,1,0,1,0
Heraclito,com.unipampa.edu.heraclito,LinhaProva,292,0,54,0,79,0,44,0,17,0
Heraclito,com.unipampa.edu.heraclito,NetClientGet,67,0,4,0,20,0,4,0,2,0
Heraclito,com.unipampa.edu.heraclito,StringHelper,33,0,4,0,9,0,7,0,5,0
Heraclito,com.unipampa.edu.heraclito,TruthTableResource,217,0,22,0,43,0,16,0,5,0
Heraclito,com.unipampa.edu.heraclito,Manager,537,0,54,0,107,0,53,0,26,0
Heraclito,com.unipampa.edu.heraclito,LinhaDeduzida,204,0,22,0,49,0,19,0,8,0
Heraclito,com.unipampa.edu.heraclito,NodeResource,291,0,20,0,51,0,18,0,8,0
Heraclito,com.unipampa.edu.heraclito,NetClientPost,51,0,2,0,19,0,3,0,2,0
Heraclito,com.unipampa.edu.heraclito,Agente,31,0,2,0,12,0,6,0,5,0
Heraclito,com.unipampa.edu.heraclito,Prova,1804,0,206,0,333,0,127,0,24,0
Heraclito,com.unipampa.edu.proposicional,SyntaxException,3,0,0,0,2,0,1,0,1,0
Heraclito,com.unipampa.edu.proposicional,ExpressionEvaluator,41,0,19,0,7,0,13,0,2,0
Heraclito,com.unipampa.edu.proposicional,PartialEvaluateStatus,48,0,0,0,4,0,4,0,4,0
Heraclito,com.unipampa.edu.proposicional,ExpressionEvaluator.new Object() {...},33,0,0,0,1,0,1,0,1,0
Heraclito,com.unipampa.edu.proposicional,ProposicionalLogicParser,968,0,62,0,218,0,47,0,12,0
Heraclito,com.unipampa.edu.proposicional,ProposicionalLogicBaseListener,9,0,0,0,7,0,7,0,7,0
Heraclito,com.unipampa.edu.proposicional,ProposicionalEvaluator,249,0,40,0,56,0,28,0,8,0
Heraclito,com.unipampa.edu.proposicional,NodeHelper,160,0,26,0,36,0,21,0,8,0
Heraclito,com.unipampa.edu.proposicional,ProposicionalLogicLexer,230,0,8,0,30,0,13,0,9,0
Heraclito,com.unipampa.edu.proposicional,ProposicionalLogicParser.FormulaContext,47,0,4,0,12,0,11,0,9,0
Heraclito,com.unipampa.edu.proposicional,TruthTableEvaluator.new Comparator() {...},7,0,0,0,2,0,2,0,2,0
Heraclito,com.unipampa.edu.proposicional,ParserHelper,211,0,30,0,53,0,22,0,7,0
Heraclito,com.unipampa.edu.proposicional,TruthTableColumn,41,0,0,0,16,0,9,0,9,0
Heraclito,com.unipampa.edu.proposicional,Operator,68,0,0,0,6,0,4,0,4,0
Heraclito,com.unipampa.edu.proposicional,Node,160,0,16,0,46,0,27,0,19,0
Heraclito,com.unipampa.edu.proposicional,NodeType,38,0,0,0,3,0,4,0,4,0
Heraclito,com.unipampa.edu.proposicional,TruthTableEvaluator,648,0,68,0,117,0,48,0,14,0
Heraclito,com.unipampa.edu.credenciais,CredentialsException,4,0,0,0,2,0,1,0,1,0
Heraclito,com.unipampa.edu.credenciais,User,64,0,0,0,26,0,11,0,11,0
Heraclito,com.unipmpa.edu.controller,ProvadorBean,3,0,0,0,2,0,1,0,1,0
Heraclito,com.unipmpa.edu.controller,HomeProvaBean,165,0,6,0,50,0,19,0,16,0
Heraclito,com.unipmpa.edu.controller,LoginBean,193,0,4,0,60,0,14,0,12,0
Heraclito,com.unipmpa.edu.controller,NovoExercicioBean,3,0,0,0,2,0,1,0,1,0
Heraclito,com.unipmpa.edu.controller,HomeBean,56,0,2,0,18,0,6,0,5,0
Heraclito,com.unipampa.edu.bayesagent,Aluno,2207,0,4,0,174,0,10,0,8,0
Heraclito,com.unipampa.edu.bayesagent,BayesAgent,320,0,16,0,40,0,12,0,4,0
Heraclito,com.unipampa.edu.bayesagent,IO,424,0,8,0,91,0,9,0,5,0
